;ID;Text;Label;clean_tweets;Hashtags;tokens
0;602;"Feeling overwhelmed and grateful to be considered an essential person worthy of this vaccine. <U+0001F9A0><U+0001F489>

Being able to serve and learn from patients during this time is an honor I take seriously. <U+0001F637>

Anxiously awaiting the time the rest of society receives their doses. <U+0001FA7A> https://t.co/Fr6gkuwvPF";0;feeling overwhelmed grateful considered essential person worthy vaccine u f u f able serve learn patients time honor take seriously u f anxiously awaiting time rest society receives doses u fa;[];['feeling', 'overwhelmed', 'grateful', 'considered', 'essential', 'person', 'worthy', 'vaccine', 'u', 'f', 'u', 'f', 'able', 'serve', 'learn', 'patients', 'time', 'honor', 'take', 'seriously', 'u', 'f', 'anxiously', 'awaiting', 'time', 'rest', 'society', 'receives', 'doses', 'u', 'fa']
1;603;Officially got my first dose of the vaccine! Vaccines save lives and I’m so grateful to have received mine. Time to change nothing about my behavior, continue to wear masks, and continue social distancing. Public health fan club forever.;0;officially got first dose vaccine vaccines save lives grateful received mine time change nothing behavior continue wear masks continue social distancing public health fan club forever;[];['officially', 'got', 'first', 'dose', 'vaccine', 'vaccines', 'save', 'lives', 'grateful', 'received', 'mine', 'time', 'change', 'nothing', 'behavior', 'continue', 'wear', 'masks', 'continue', 'social', 'distancing', 'public', 'health', 'fan', 'club', 'forever']
2;604;Still keen to take a rushed vaccine that has already killed people? Oh wait ... they haven't even isolated #CoVid19. Go on ... you look stupid enough to take a toxic #vaccine. No? Then welcome to the #Truth. https://t.co/rbq8Ma49mA;1;still keen take rushed vaccine already killed people oh wait even isolated covid go look stupid enough take toxic vaccine welcome truth;['#CoVid19.', '#vaccine.', '#Truth.'];['still', 'keen', 'take', 'rushed', 'vaccine', 'already', 'killed', 'people', 'oh', 'wait', 'even', 'isolated', 'covid', 'go', 'look', 'stupid', 'enough', 'take', 'toxic', 'vaccine', 'welcome', 'truth']
3;605;So #blessed to have gotten my #COVID19 vaccine today, one of only 2.1 million Americans so far. #Grateful to everyone involved in creating this vaccine - from the scientists in the beginning, to the nurse who administered it at the end! #DoseOfHope #ThisIsOurShot  @KPSDFMR https://t.co/q7A3Ekw6AZ;0;blessed gotten covid vaccine today one million americans far grateful everyone involved creating vaccine scientists beginning nurse administered end doseofhope thisisourshot;['#blessed', '#COVID19', '#Grateful', '#DoseOfHope', '#ThisIsOurShot'];['blessed', 'gotten', 'covid', 'vaccine', 'today', 'one', 'million', 'americans', 'far', 'grateful', 'everyone', 'involved', 'creating', 'vaccine', 'scientists', 'beginning', 'nurse', 'administered', 'end', 'doseofhope', 'thisisourshot']
4;606;"Well today was productive!

Covid vaccine count
Received: 1 of 2 <U+2705> 
Administered: 130ish

Grateful to be a pharmacist<U+0001F389>
Excited to sleep <U+0001F634> 
Back at it tomorrow <U+0001F4AA><U+0001F3FD>

#TwitteRx";0;well today productive covid vaccine count received u administered ish grateful pharmacist u f excited sleep u f back tomorrow u f aa u f fd twitterx;['#TwitteRx'];['well', 'today', 'productive', 'covid', 'vaccine', 'count', 'received', 'u', 'administered', 'ish', 'grateful', 'pharmacist', 'u', 'f', 'excited', 'sleep', 'u', 'f', 'back', 'tomorrow', 'u', 'f', 'aa', 'u', 'f', 'fd', 'twitterx']
5;1180;.@AsmRoyFreiman Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines;1;force injecting citizens fast tracked experimental liability free vaccine unethical unconstitutional medical mandates belong free society let person choose care bodies nomandates noforcedcovidvaccines;['#nomandates', '#noforcedcovidvaccines'];['force', 'injecting', 'citizens', 'fast', 'tracked', 'experimental', 'liability', 'free', 'vaccine', 'unethical', 'unconstitutional', 'medical', 'mandates', 'belong', 'free', 'society', 'let', 'person', 'choose', 'care', 'bodies', 'nomandates', 'noforcedcovidvaccines']
6;1021;.@GovTimWalz Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines;1;force injecting citizens fast tracked experimental liability free vaccine unethical unconstitutional medical mandates belong free society let person choose care bodies nomandates noforcedcovidvaccines;['#nomandates', '#noforcedcovidvaccines'];['force', 'injecting', 'citizens', 'fast', 'tracked', 'experimental', 'liability', 'free', 'vaccine', 'unethical', 'unconstitutional', 'medical', 'mandates', 'belong', 'free', 'society', 'let', 'person', 'choose', 'care', 'bodies', 'nomandates', 'noforcedcovidvaccines']
7;753;.@LauraChurchward thank you so much for everything you're doing to rollout the vaccine @uclh! Love your '10 Things I'm Grateful For' idea. Nothing wrong with a baked potato... @LisaMonaghan16 @RealMattLucas   https://t.co/9RzgfHHfOr;0;thank much everything rollout vaccine love things grateful idea nothing wrong baked potato;[];['thank', 'much', 'everything', 'rollout', 'vaccine', 'love', 'things', 'grateful', 'idea', 'nothing', 'wrong', 'baked', 'potato']
8;610;"Back on inpatient #palliativecare service and facing our third surge.  For all of my patients &amp; their families that I had to break bad news to, I wish this could have come earlier. I am #grateful  though that it has come. #pfizer #covid19shot #thisisourshot #hapc - please be safe https://t.co/CYhK5vUWDN";0;back inpatient palliativecare service facing third surge patients amp families break bad news wish could come earlier grateful though come pfizer covid shot thisisourshot hapc please safe;['#palliativecare', '#grateful', '#pfizer', '#covid19shot', '#thisisourshot', '#hapc'];['back', 'inpatient', 'palliativecare', 'service', 'facing', 'third', 'surge', 'patients', 'amp', 'families', 'break', 'bad', 'news', 'wish', 'could', 'come', 'earlier', 'grateful', 'though', 'come', 'pfizer', 'covid', 'shot', 'thisisourshot', 'hapc', 'please', 'safe']
9;611;Today I got the Covid-19 vaccine. I’m so grateful for the opportunity. It’s so important that everyone does their part to keep our community safe. https://t.co/h9YTxXzHnz;0;today got covid vaccine grateful opportunity important everyone part keep community safe;[];['today', 'got', 'covid', 'vaccine', 'grateful', 'opportunity', 'important', 'everyone', 'part', 'keep', 'community', 'safe']
